episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
1,train-load-0.7-scenario-25,0.7,0.6069565,0.57329125,0.6069565,11.320245898443275,0.7108247677630571,0.4891752322369429,0.8,0.2,0.7272727272727273,0.2727272727272727,8,2,8,3,11,6,10,8,0.0,0.995,,,,,,,,,,,-1e+18,-1e+18
2,train-load-0.5-scenario-297-retry-1,0.5,0.40625,0.19270833333333334,0.40625,32.153882310457384,1.3182939584541935,0.6817060415458064,1.0,0.0,1.0,0.0,22,0,22,0,22,8,22,22,0.0,0.990025,,,,,,,,,,,-1e+18,-1e+18
3,train-load-0.5-scenario-571,0.5,0.6,0.6,0.15,18.027627038354208,1.1869608517888262,0.8130391482111738,1.0,0.0,1.0,0.0,12,0,12,0,12,8,12,12,0.0,0.985074875,,,,,,,,,,,-1e+18,-1e+18
4,train-load-0.5-scenario-273-retry-1,0.5,0.4,0.16666666666666666,0.4,24.16079999200847,1.2747064553368315,0.7252935446631685,1.0,0.0,1.0,0.0,16,0,16,0,16,8,16,16,0.0,0.9801495006250001,,,,,,,,,,,-1e+18,-1e+18
5,train-load-0.5-scenario-394,0.5,0.473155,0.33069166666666666,0.473155,8.175770102276823,1.2591797230378128,0.7408202769621872,1.0,0.0,1.0,0.0,4,0,4,0,4,4,4,4,0.0,0.9752487531218751,,,,,,,,,,,-1e+18,-1e+18
6,train-load-1.0-scenario-486,1.0,0.9000721666666668,0.4194439583333333,0.9000721666666668,3.576586159919797,-0.18065686238927936,0.4663711481035651,0.5714285714285714,0.42857142857142855,0.4444444444444444,0.5555555555555556,4,3,4,5,9,6,7,4,0.0,0.9703725093562657,,,,,,,,,,,-1e+18,-1e+18
7,train-load-0.9-scenario-492,0.9,0.875,0.1875,0.875,19.18365668116335,0.8593863491841314,0.6406136508158686,0.875,0.125,0.875,0.125,14,2,14,2,16,6,16,14,0.0,0.9655206468094844,,,,,,,,,,,-1e+18,-1e+18
8,train-load-0.6-scenario-297-retry-2,0.6,0.65,0.65,0.65,13.643251078816636,0.5976183598837524,0.47930471703932465,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.23076923076923078,10,3,10,3,13,8,13,10,0.0,0.960693043575437,,,,,,,,,,,-1e+18,-1e+18
9,train-load-0.5-scenario-371,0.5,0.5714285714285714,0.17142857142857143,0.5714285714285714,10.769707218963589,0.9089653025498006,0.5910346974501994,0.875,0.125,0.875,0.125,7,1,7,1,8,7,8,7,0.0,0.9558895783575597,,,,,,,,,,,-1e+18,-1e+18
10,train-load-0.6-scenario-307,0.6,0.6153772000000001,0.5454866666666667,0.6153772000000001,3.6245247238771587,0.008658303651520538,0.6580083630151461,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.2857142857142857,4,2,5,2,7,5,6,4,0.0,0.9511101304657719,,,,,,,,,,,-1e+18,-1e+18
